Record_number,Biome2,altitude,SOC_content,Outlier,SOC_stock,Ecosystem_type2,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2
1,Boreal,272.7,117,0,223,Forest,2001.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2534,272.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,255,56.75 -99.75,-6.116666667,-3.666111111,341.7333334,-91.46,56.63
2,Boreal,275.2,105,0,264,Forest,2001.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.97,56.46 -99.97,2534,275.2,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,85,56.25 -99.75,-6.127777778,-3.6125,331.5333334,-91.83666667,56.46
3,Boreal,282.6,156,0,375,Forest,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.98,55.91 -98.98,2534,282.6,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,425,55.75 -98.75,-5.361111111,-3.0025,350.0666666,-122.24,55.91
4,Boreal,263.4,156,0,237,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2534,263.4,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,Exclusion,Aggrading,551,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.86
5,Boreal,258.6,148,0,406,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2534,258.6,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,484,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.92
6,Boreal,268.7,177,0,325,Forest,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.52,55.91 -98.52,2534,268.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,540,55.75 -98.75,-5.361111111,-3.0025,350.0666666,-122.24,55.91
7,Boreal,256.9,222,0,542,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2534,256.9,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,375,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.88
8,Boreal,272.7,117,0,223,Forest,2001.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2534,272.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,137,56.75 -99.75,-6.116666667,-3.666111111,341.7333334,-91.46,56.63
9,Boreal,280.7,123,0,162,Forest,2001.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.98,56.46 -99.98,2534,280.7,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,513,56.25 -99.75,-6.127777778,-3.6125,331.5333334,-91.83666667,56.46
10,Boreal,256,148,0,368,Forest,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.9,-98.98,55.9 -98.98,2534,256,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,337,55.75 -98.75,-5.361111111,-3.0025,350.0666666,-122.24,55.9
11,Boreal,263.4,156,0,237,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2534,263.4,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,Exclusion,Aggrading,570,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.86
12,Boreal,258.6,148,0,406,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2534,258.6,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,397,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.92
13,Boreal,251.8,95,0,328,Forest,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.51,55.91 -98.51,2534,251.8,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,338,55.75 -98.75,-5.361111111,-3.0025,350.0666666,-122.24,55.91
14,Boreal,256.9,222,0,542,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2534,256.9,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,375,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.88
15,Boreal,272.7,117,0,223,Forest,1999.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2182,272.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Aggrading,226,56.75 -99.75,-4.655555556,-2.205,416.6666666,-16.52666666,56.63
16,Boreal,275.2,105,0,264,Forest,1999.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.97,56.46 -99.97,2182,275.2,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,,Aggrading,412,56.25 -99.75,-4.988888889,-2.473611111,381.4666667,-41.90333333,56.46
17,Boreal,282.6,156,0,375,Forest,1999.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.98,55.91 -98.98,2182,282.6,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,,Aggrading,357,55.75 -98.75,-4.6,-2.241388889,394.2,-78.10666667,55.91
18,Boreal,263.4,156,0,237,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2182,263.4,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,,Aggrading,413,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.86
19,Boreal,258.6,148,0,406,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2182,258.6,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Aggrading,350,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.92
20,Boreal,268.7,177,0,325,Forest,1999.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.52,55.91 -98.52,2182,268.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Mature,274,55.75 -98.75,-4.6,-2.241388889,394.2,-78.10666667,55.91
21,Boreal,256.9,222,0,542,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2182,256.9,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Mature,244,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.88
22,Boreal,272.7,117,0,223,Forest,1999.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2182,272.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Aggrading,146,56.75 -99.75,-4.655555556,-2.205,416.6666666,-16.52666666,56.63
23,Boreal,280.7,123,0,162,Forest,1999.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.98,56.46 -99.98,2182,280.7,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,,Aggrading,380,56.25 -99.75,-4.988888889,-2.473611111,381.4666667,-41.90333333,56.46
24,Boreal,256,148,0,368,Forest,1999.5,1.5,55.75,-98.75,55.75 -98.75,55.9,-98.98,55.9 -98.98,2182,256,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,,Aggrading,300,55.75 -98.75,-4.6,-2.241388889,394.2,-78.10666667,55.9
25,Boreal,263.4,156,0,237,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2182,263.4,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,,Aggrading,303,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.86
26,Boreal,258.6,148,0,406,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2182,258.6,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Aggrading,256,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.92
27,Boreal,251.8,95,0,328,Forest,1999.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.51,55.91 -98.51,2182,251.8,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Mature,233,55.75 -98.75,-4.6,-2.241388889,394.2,-78.10666667,55.91
28,Boreal,256.9,222,0,542,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2182,256.9,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Mature,264,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.88
44,Temperate,759,10,0,190,Forest,1999,4,50.25,11.75,50.25 11.75,50.13,11.87,50.13 11.87,2459,760,Temperate,Natural,Evergreen Forest,Evergreen,6,1019,IRGA,,Mature,560,50.25 11.75,7.622916667,0.292083333,877.05,44.70333334,50.13
46,Temperate,759,52,0,190,Forest,1997.5,1,50.25,11.75,50.25 11.75,50.13,11.87,50.13 11.87,1565,770,Temperate,Managed,Evergreen Forest,Evergreen,5.8,890,IRGA,Exclusion,Aggrading,710,50.25 11.75,7.166666667,-0.164166667,780.1,-52.24666667,50.13
65,Temperate,200,23,0,109,Forest,1995,3,-42.75,172.75,-42.75 172.75,42.87,172.75,-42.87 172.75,1263,198,Temperate,Managed,Evergreen Forest,Evergreen,10.8,658,IRGA,Subtraction,Aggrading,950,-42.75 172.75,10.96388889,-0.472777778,668.8333333,132.3233333,-42.87
66,Temperate,200,23,0,109,Forest,1996,1,-42.75,172.75,-42.75 172.75,42.87,172.75,-42.87 172.75,1262,198,Temperate,Managed,Evergreen Forest,Evergreen,10.8,547,IRGA,,Aggrading,370,-42.75 172.75,11.18333333,-0.253333333,774.6,238.09,-42.87
67,Temperate,200,14,0,109,Forest,1997,1,-42.75,172.75,-42.75 172.75,42.87,172.75,-42.87 172.75,1262,198,Temperate,Managed,Evergreen Forest,Evergreen,10.8,640,IRGA,,Aggrading,440,-42.75 172.75,11.025,-0.411666667,645.3,108.79,-42.87
69,Boreal,131.4,31,0,309,Forest,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,580,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,296,64.75 -147.75,2.777777778,4.651944444,312,11.80666667,64.8
70,Boreal,131.4,31,0,309,Forest,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,184,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,206,64.75 -147.75,2.777777778,4.651944444,312,11.80666667,64.8
71,Boreal,131.4,31,0,309,Forest,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,124,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,192,64.75 -147.75,2.777777778,4.651944444,312,11.80666667,64.8
72,Temperate,308,28,0,78,Forest,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1438,305,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Aggrading,660,48.75 7.25,8.575,-1.0025,878.1,26.55666667,48.67
73,Temperate,308,28,0,78,Forest,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1777,305,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Aggrading,660,48.75 7.25,8.575,-1.0025,878.1,26.55666667,48.67
78,Tropical,137,148,0,51,Forest,1995,1,-2.75,-47.75,-50.5,2.98,-47.52,-50.5,1009,137,Tropical,Natural,Evergreen Forest,Evergreen,25.61666667,1750,IRGA,Isotope,Mature,2400,-50.5,25.61666667,-0.32,2065.1,-207.6433333,-2.98
79,Temperate,211.3,148,0,117,Forest,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Natural,Deciduous Forest,Deciduous,12.9,1796,IRGA,,Mature,1250,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
80,Temperate,211.3,109,0,117,Forest,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Natural,Deciduous Forest,Deciduous,12.9,1796,IRGA,,Mature,1240,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
81,Temperate,211.3,109,0,117,Forest,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Natural,Deciduous Forest,Deciduous,12.9,1796,IRGA,,Mature,1220,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
82,Temperate,211.3,30,0,117,Forest,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Natural,Deciduous Forest,Deciduous,12.9,1796,IRGA,,Mature,1320,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
83,Temperate,211.3,29,0,75.5,Grassland,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Managed,Grassland,Deciduous,12.9,1796,IRGA,,Mature,1000,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
