Record_number,Biome2,Ecosystem_type2,altitude,SOC_stock,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Rh_annual,Ra_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2,Outlier_rh,Outlier_ra
6631,Tropical,Forest,1200,122,2015.5,1,-2.25,114.25,-2.25 114.25,2.497222222,114.1888889,-2.497222222 114.1888889,10832,1200,Tropical,Managed,Evergreen Forest,Evergreen,27.225,2553,IRGA,Exclusion,Aggrading,3293,1408,1885,-2.25 114.25,27.225,0.156666667,181.0416667,140.4133333,-2.497222222,0,1
1985,Tropical,Others,217,211.5,1996.5,2,19.75,-155.25,19.75 -155.25,19.84,-155.12,19.84 -155.12,2607,350,Tropical,Natural,Others,,21,3600,IRGA,Extraction,Aggrading,2220,600,1620,19.75 -155.25,17.47083333,0.439166667,342.8416667,-448.7466667,19.84,0,0
253,Temperate,Forest,342.5,121,1989,1,50.25,4.25,50.25 4.25,50.11,4.25,50.11 4.25,1123,342.5,Temperate,Managed,Deciduous Forest,Deciduous,8.4,1000,IRGA,Extraction,Mature,2018,202,1816,50.25 4.25,9.683333333,0.199444444,90.40833333,201.2533333,50.11,0,1
252,Temperate,Forest,145,121,1988,1,50.25,4.25,50.25 4.25,50.11,4.25,50.11 4.25,1123,145,Temperate,Managed,Deciduous Forest,Deciduous,8.4,1000,IRGA,Extraction,Mature,1827,183,1645,50.25 4.25,9.275,-0.208888889,101.5833333,335.3533333,50.11,0,1
251,Temperate,Forest,342.5,121,1987,1,50.25,4.25,50.25 4.25,50.11,4.25,50.11 4.25,1123,342.5,Temperate,Managed,Deciduous Forest,Deciduous,8.4,1000,IRGA,Extraction,Mature,1773,177,1595,50.25 4.25,7.983333333,-1.500555556,85.64166667,144.0533333,50.11,0,1
78,Tropical,Forest,706,122,1995,1,-2.75,-47.75,-50.5,2.98,-47.52,-50.5,1009,706,Tropical,Natural,Evergreen Forest,Evergreen,25.61666667,1750,IRGA,Isotope,Mature,2400,890,1510,-50.5,25.61666667,-0.32,172.0916667,-207.6433333,-2.98,0,0
5850,Tropical,Forest,313.3,122,2010.5,1,-4.25,39.75,-4.25 39.75,4.408888889,39.52305556,-4.408888889 39.52305556,7955,313.3,Tropical,Natural,Evergreen Forest,Evergreen,25.83333333,804.4,Gas Chromatography,Comparison,Mature,971,506,1477,-4.25 39.25,25.83333333,0.445,67.03333333,-292.33,-4.408888889,0,0
5997,Tropical,Forest,275,122,2011.5,1,13.75,99.75,13.75 99.75,13.58702778,99.50108333,13.58702778 99.50108333,9738,110,Tropical,Managed,Evergreen Forest,Evergreen,27.54166667,1253,IRGA,Exclusion,Aggrading,4140,2700,1440,13.75 99.75,27.54166667,-0.735,103.6916667,102.6833333,13.58702778,1,0
2218,Tropical,Forest,65,122,2005.25,1,10.25,-83.75,10.25 -83.75,10.44,-84,10.44 -84,4119,65,Tropical,Managed,Evergreen Forest,Evergreen,25.8,3900,IRGA,Subtraction,Mature,2360,1020,1340,10.25 -84.25,19.26666667,0.032222222,338.375,-191.34,10.44,0,0
3990,Tropical,Forest,225,122,2003.5,2,10.25,-83.75,10.25 -83.75,10.43333333,-83.98333333,10.43333333 -83.98333333,5516,71,Tropical,Managed,Evergreen Forest,Evergreen,25.8,3960,IRGA,,Aggrading,2018,727,1291,10.25 -83.75,27.62083333,0.508611111,347.6541667,-346.1,10.43333333,0,0
