"work.data.Site.match","work.data.Lat","work.data.Biome","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"56.25 31.75",56.25,"Boreal",68.5,57.85,63.0916666666667,72.0916666666667,61.9916666666667,52.275,63.5166666666667,59.0083333333333,53.45,49.1333333333333,60.3083333333333,75.2166666666667,53.4916666666667,61.9916666666667,53.35,45.9583333333333,63.6666666666667,62.825,52.5166666666667,53.5333333333333,52.525,60.5416666666667,64.8833333333333,59.5333333333333,60.2083333333333,75.2833333333333,50.1416666666667,43.1916666666667,48.9,63.625
"30.25 101.75",30.25,"Boreal",77.675,66.3333333333333,69.7583333333333,71.1916666666667,78.5833333333333,79.6166666666667,87.5833333333333,56.225,86.1833333333333,72.2583333333333,66.1666666666667,73,79.3416666666667,76.5416666666667,75.95,65.3333333333333,76.5916666666667,85.5416666666667,76.2166666666667,67.1583333333333,64.3833333333333,73.725,66.4416666666667,79.7416666666667,71.2416666666667,68.3166666666667,70.575,75,81.8666666666667,82.6666666666667
"32.25 102.75",32.25,"Boreal",56.0833333333333,61.3333333333333,66.6333333333333,65.9083333333333,60.7833333333333,73.05,71.7833333333333,58.6083333333333,60.3583333333333,53.4166666666667,49.5083333333333,69.0166666666667,66.6333333333333,62.675,64.9833333333333,48.5666666666667,64.9166666666667,67.775,66.1916666666667,62.7333333333333,56.9166666666667,52.0916666666667,68,69.8,65.05,74.325,63.15,71.025,73.6166666666667,66.5916666666667
"63.25 29.75",63.25,"Boreal",59.2833333333333,68.8,48.8083333333333,49.4833333333333,58.8,63.4333333333333,50.3083333333333,59.6916666666667,54.9083333333333,52.625,51.8083333333333,64.8916666666667,49.7083333333333,57.525,54.075,46.825,58.6333333333333,72.2833333333333,48.3583333333333,52.1333333333333,61.8833333333333,54.575,40.8333333333333,47.9333333333333,48.5,63.9333333333333,60.7583333333333,45.85,57.1916666666667,51.2333333333333
"62.75 24.25",62.75,"Boreal",53.725,60.2416666666667,51.575,51.9166666666667,52.425,56.9666666666667,42.4833333333333,47.0166666666667,47.1666666666667,48.8083333333333,44.9,57.3416666666667,46.325,54.3833333333333,56.1333333333333,45.1333333333333,45.6416666666667,50.0416666666667,53.7916666666667,42.725,55.3666666666667,61.3666666666667,39.3583333333333,53.6416666666667,65.1916666666667,66.6416666666667,52.225,42.1583333333333,59.1583333333333,49.95
"63.25 29.25",63.25,"Boreal",57.3,72.825,51.4166666666667,54.325,64.0833333333333,64.4333333333333,44.925,54.275,51.4833333333333,52.9916666666667,48.8583333333333,61.1583333333333,45.7833333333333,57.625,52.7833333333333,46.5916666666667,63.125,68.775,47.5833333333333,51.0166666666667,62.875,35.0083333333333,24.4583333333333,25.3333333333333,26.1333333333333,35.9,57.475,37.7083333333333,53.425,31.5
"60.25 17.25",60.25,"Boreal",45.3833333333333,48.1333333333333,36.15,51.425,45.1833333333333,53.0833333333333,40.7916666666667,40.3666666666667,48.4583333333333,39.2833333333333,49.575,57.6,49.725,52.775,41.7166666666667,49.4916666666667,47.4583333333333,40.0333333333333,46.025,47.4,44.9,54.0583333333333,52.8333333333333,45.3833333333333,42.8583333333333,58.475,35.2083333333333,42.1333333333333,44.7166666666667,42.3416666666667
"49.25 -78.75",49.25,"Boreal",71.95,82.7,75.9416666666667,81.1833333333333,64.7083333333333,68.0333333333333,73.9666666666667,67.425,77.225,70.4833333333333,74.475,70.1416666666667,76.125,67.35,79.4,71.0166666666667,73.7416666666667,71.2083333333333,61.4333333333333,74.0083333333333,67.1833333333333,80.7333333333333,79.6416666666667,58.6666666666667,66.5333333333333,71.7833333333333,70.8916666666667,77.75,62.95,68.8916666666667
"57.75 33.25",57.75,"Boreal",60.0333333333333,54.8833333333333,60.45,73.7583333333333,59.9916666666667,60.3583333333333,58.15,59.0083333333333,58.8916666666667,42.325,54.8166666666667,63.9,54,63.4166666666667,60.5333333333333,45.4666666666667,65.8833333333333,67.0666666666667,52.4833333333333,61.7416666666667,55.6666666666667,59.775,70.775,67.0833333333333,62.7583333333333,63.1916666666667,62.875,52.0916666666667,52.1833333333333,67.3166666666667
"66.25 23.75",65.75,"Boreal",48.45,46.2416666666667,50.8083333333333,44.475,48.7666666666667,61.6083333333333,50.35,38.3916666666667,47.625,48.3083333333333,42.0583333333333,70.5916666666667,49.1416666666667,61.225,53.3583333333333,41.1083333333333,41.0083333333333,55.4166666666667,57.825,41.65,59.425,54.0333333333333,43.7666666666667,43.9166666666667,60,67.4166666666667,46.3916666666667,49.0916666666667,67.475,60.1583333333333
"48.25 -82.25",48.25,"Boreal",55.8916666666667,76.5166666666667,62.7416666666667,77.8583333333333,61.925,61.7583333333333,62.7916666666667,57.1,65.1416666666667,64.5916666666667,53.3083333333333,58.1083333333333,66.2416666666667,54.225,62,63.7833333333333,64.5583333333333,61.2,51.425,60.8833333333333,66.05,69.7833333333333,60.625,39.3166666666667,48.0916666666667,51.7,69.0916666666667,71.4,57.3416666666667,65.9666666666667
"53.75 -106.25",53.75,"Boreal",32.4,36.7166666666667,32,31.6833333333333,36.3166666666667,28.7583333333333,35.5416666666667,39.2,33.5916666666667,34.425,33.9,35.8416666666667,40.8,37.2833333333333,28.4916666666667,27.8833333333333,34.1583333333333,57.0833333333333,40.4416666666667,43.9083333333333,44.5,38.2916666666667,39.45,47.575,26.7833333333333,36.5916666666667,30.5416666666667,43.45,41.7833333333333,45.225
"61.75 24.25",61.75,"Boreal",59.1,63.15,50.0083333333333,54.2583333333333,51.2416666666667,59.7666666666667,44.3916666666667,52.5083333333333,51.425,49.625,52.6166666666667,61.3416666666667,51.4333333333333,55.45,56.2416666666667,41.9583333333333,47.4,54.4666666666667,53.2666666666667,49.575,54.575,61.6833333333333,37.7083333333333,47.6833333333333,57.1333333333333,68.3333333333333,46.125,36.6333333333333,50.2666666666667,46.2583333333333
"53.75 -105.25",53.75,"Boreal",36.7083333333333,32.6583333333333,34.425,34.2333333333333,37.8916666666667,28.7,35.5833333333333,38.25,34.3333333333333,34.85,32.65,35.5583333333333,38.4666666666667,36.1916666666667,26.7416666666667,30.9666666666667,33.0083333333333,52.3833333333333,42.0166666666667,41.9,40.1916666666667,32.7166666666667,37.075,49.8666666666667,29.2583333333333,41.4583333333333,31.575,47.3833333333333,44.475,43.325
"58.25 33.25",58.25,"Boreal",58.9,51.4833333333333,66.9833333333333,75.5,60.0833333333333,52.4916666666667,55.5,58.6333333333333,58.9833333333333,41.2,55.9916666666667,61.7833333333333,52.5583333333333,63.4916666666667,59.6583333333333,45.3333333333333,66.2666666666667,68.1083333333333,52.3,61.3083333333333,56.125,59.1666666666667,70.6166666666667,66.2083333333333,63.1666666666667,63.7166666666667,66.45,57.7916666666667,56.7416666666667,73.0916666666667
"34.75 92.75",34.75,"Boreal",19.65,18.6583333333333,29.225,17.225,22.8166666666667,25.4166666666667,21.7,18.5583333333333,21.6083333333333,26.5333333333333,23.5,24.65,26.65,26.525,27.4666666666667,34.4666666666667,22.1916666666667,24.375,30.0083333333333,21.0833333333333,25.65,30.7416666666667,37.8583333333333,31.1666666666667,30.2916666666667,31.1666666666667,24.125,37.0166666666667,23.9666666666667,28.7666666666667
"35.25 -83.25",35.25,"Temperate",94.6833333333333,86.7583333333333,164.666666666667,134.591666666667,129.25,138.716666666667,95.7083333333333,139.05,122.041666666667,144.15,125.116666666667,117.016666666667,103.591666666667,93.95,99.6583333333333,115.616666666667,137.366666666667,124.458333333333,120.4,96.8416666666667,93.5083333333333,86.9166666666667,145.216666666667,93.8666666666667,102.141666666667,100.4,147.783333333333,99.8916666666667,131.55,73.2833333333333
"7.25 38.75",7.25,"Temperate",89.4,93.725,96.9,83.7,83.4583333333333,93.95,82.1416666666667,85.8,94.9666666666667,103.8,100.508333333333,106.208333333333,73.3666666666667,95.9583333333333,91.0916666666667,73.0333333333333,85,94.2666666666667,104.35,97.1333333333333,94.0166666666667,98.1583333333333,91.0583333333333,92.075,94.5083333333333,81.275,84.1083333333333,75.1916666666667,83.4833333333333,74.3333333333333
"36.25 -94.25",36.25,"Temperate",111.183333333333,82.3083333333333,73.8333333333333,141.925,90.525,83.6083333333333,88.3083333333333,68.3916666666667,67.7416666666667,70.5666666666667,71.1833333333333,66.65,90.15,86.9583333333333,78.3333333333333,82.6083333333333,72.9583333333333,97.025,64.4916666666667,82.2583333333333,78.7916666666667,111.1,93.225,78.4666666666667,108.7,53.8416666666667,106.333333333333,81.3083333333333,135.233333333333,73.9
"49.75 -125.25",49.75,"Temperate",131.283333333333,119.675,112.316666666667,130.1,106.366666666667,117.408333333333,105.55,133.941666666667,159.616666666667,109.316666666667,134.308333333333,155.566666666667,186.533333333333,87.525,102.275,94.7083333333333,128.758333333333,111.908333333333,116.625,139.7,126.825,98.25,101.766666666667,185.825,114.558333333333,136.908333333333,77.4333333333333,116.8,111.775,165.416666666667
"31.25 35.25",31.25,"Mediterranean",12.5833333333333,20.2,11.4583333333333,16.0916666666667,28.0583333333333,28.5166666666667,9.26666666666667,24.575,6.49166666666667,12.0916666666667,19.325,8.94166666666667,5.675,19.3833333333333,18.2333333333333,22.2083333333333,21.8083333333333,16.675,14.8916666666667,15.9666666666667,13.4916666666667,12.1166666666667,11.875,13.3,15.0166666666667,14.6083333333333,21.0333333333333,14.1583333333333,18.1083333333333,20.0583333333333
"42.75 117.25",42.25,"Boreal",33.6583333333333,25.35,24.7666666666667,35.8416666666667,40.0666666666667,48.0166666666667,43.0833333333333,32.675,37.5166666666667,38.1833333333333,33.7333333333333,42.2833333333333,33.3333333333333,29.4333333333333,29.725,30.1916666666667,36.5833333333333,35.2166666666667,29.325,32.5583333333333,26.6916666666667,34.0416666666667,25.3166666666667,38.225,29.5333333333333,38.7666666666667,39.55,36.1333333333333,45.8,46.85
"46.25 11.25",46.25,"Temperate",78.3583333333333,61.0416666666667,71.375,63.05,61.9333333333333,83.975,93.9,79.1916666666667,62.35,73.75,59.9166666666667,68.825,76.675,131.091666666667,99.0416666666667,118.783333333333,97.35,92.875,86.975,64.5666666666667,96.4416666666667,101.241666666667,73.925,84.2416666666667,66.15,88.5166666666667,77.7833333333333,96.6916666666667,68.3166666666667,57.4
"50.25 4.25",50.25,"Temperate",90.7166666666667,103.675,72.7916666666667,67.9666666666667,65.65,77.5583333333333,74.4583333333333,80.4666666666667,74.7583333333333,57.8416666666667,74.725,82.6666666666667,78.9333333333333,89.2916666666667,96.2333333333333,87.8833333333333,59.6083333333333,67.7166666666667,67.8916666666667,66.1666666666667,75.1833333333333,76.2416666666667,69.0666666666667,67.475,59.9083333333333,75.7416666666667,60.6916666666667,62.6583333333333,59.525,65.625
"45.25 -123.75",45.25,"Temperate",145.108333333333,158.333333333333,142.633333333333,171.233333333333,146.841666666667,134.85,132.533333333333,185.958333333333,189.608333333333,240.858333333333,201.375,206.158333333333,212.408333333333,125.991666666667,146.766666666667,157.691666666667,169.825,153.341666666667,161.708333333333,184.708333333333,153.3,148.133333333333,136.308333333333,191.15,167.125,208.175,127.75,169.866666666667,165.841666666667,195.866666666667
"40.25 -105.75",40.25,"Temperate",39.5333333333333,42.1666666666667,41.3333333333333,47.1666666666667,48.5166666666667,42.625,54.7083333333333,36.8083333333333,63.25,56.025,56.4416666666667,48.375,46.7416666666667,48.0583333333333,36.9166666666667,33.5083333333333,48.275,51.2,50.05,41.775,40.7666666666667,45.875,43.1166666666667,48.3,57.925,35.4083333333333,52.5166666666667,57.9083333333333,46.6416666666667,43.0416666666667
"22.75 112.75",22.75,"Temperate",143.158333333333,139.3,140.108333333333,104.758333333333,106.533333333333,168.283333333333,166.866666666667,169.058333333333,156.5,140.441666666667,176.433333333333,148.1,130.466666666667,136.241666666667,186.316666666667,146.625,113.541666666667,114.958333333333,156.641666666667,156.55,109.566666666667,182.666666666667,133.091666666667,155.058333333333,112.325,149.95,169.733333333333,150.541666666667,145.991666666667,193.141666666667
"35.75 -81.75",35.75,"Temperate",111.741666666667,68.1583333333333,128.916666666667,121.5,96.9166666666667,114.066666666667,90.2333333333333,125.633333333333,110.616666666667,103.341666666667,97.325,110.408333333333,75.5416666666667,76.6416666666667,89.95,105.008333333333,134.366666666667,114.2,105.108333333333,102.983333333333,70.7416666666667,76.8666666666667,123.158333333333,89.3833333333333,99.6083333333333,94.1583333333333,162.225,100.025,118.025,80.975
"22.75 120.25",22.75,"Temperate",33.6916666666667,72.2416666666667,39.975,76.3583333333333,51.8333333333333,59.9833333333333,65.9333333333333,79.8083333333333,50.8,44.8916666666667,57.4083333333333,110.641666666667,168.3,121.975,182.45,84.6333333333333,81.425,83.3916666666667,178.366666666667,148.116666666667,146.058333333333,152.741666666667,90.5916666666667,147.1,115.691666666667,194.191666666667,142.158333333333,106.516666666667,114,185.25
"40.25 116.25",40.25,"Tropical",52.4083333333333,51.5333333333333,34.4333333333333,58.7666666666667,57.6416666666667,54.4416666666667,41.525,51.125,52.825,58.0333333333333,36.8916666666667,61.05,33.7333333333333,37.8666666666667,34.5083333333333,36.775,41.4,43.6416666666667,39.2166666666667,32.0083333333333,42.7666666666667,53.1083333333333,43.55,52.1,56.5416666666667,58.3666666666667,52.425,41.9583333333333,44.725,64.5166666666667
