"work.data.Site.match","work.data.Lat","work.data.Biome","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"56.25 31.75",56.25,"Boreal",2.38333333333333,4.85833333333333,6.49166666666667,5.775,5.36666666666667,5.35,4.175,4.43333333333333,5.60833333333333,4.325,4.51666666666667,4.49166666666667,5.90833333333333,5.95,5.04166666666667,5.25833333333333,4.90833333333333,5.10833333333333,5.3,5.1,6,6.46666666666667,5.45,5.125,5.94166666666667,4.66666666666667,5.74166666666667,5.78333333333333,6.51666666666667,5.65833333333333
"30.25 101.75",30.25,"Boreal",0.391666666666667,0.0083333333333334,-0.891666666666667,-0.0333333333333332,-0.525,-0.941666666666667,-0.575,-0.108333333333333,-0.841666666666667,-0.583333333333333,-0.716666666666667,0.391666666666667,0.0250000000000001,-0.675,-0.125,0.1,0.191666666666667,-0.683333333333333,-0.266666666666667,0.483333333333333,0.158333333333333,-0.291666666666667,0.458333333333333,0.391666666666667,-0.383333333333333,-0.441666666666667,0.458333333333333,0.116666666666667,0.5,0.641666666666667
"32.25 102.75",32.25,"Boreal",0.0500000000000001,0.158333333333333,-0.541666666666667,-0.225,-0.283333333333333,-0.958333333333333,-0.291666666666667,0.108333333333334,-0.283333333333333,-0.25,-0.858333333333333,0.566666666666667,0.391666666666667,-0.458333333333333,0.0833333333333333,0.116666666666667,0.441666666666667,-0.116666666666667,0.258333333333333,0.775,0.45,0.183333333333333,0.725,0.575,0.166666666666667,0.25,-0.575,-0.608333333333333,-0.683333333333333,-0.425
"63.25 29.75",63.25,"Boreal",-0.291666666666667,1.975,4.075,2.69166666666667,2.39166666666667,2.6,2.025,2.50833333333333,3.26666666666667,2.33333333333333,2.95,2.25,3.26666666666667,4.575,2.88333333333333,2.31666666666667,2.65833333333333,2.46666666666667,3.31666666666667,2.68333333333333,3.26666666666667,3.61666666666667,2.3,1.18333333333333,3.55833333333333,1.91666666666667,3.73333333333333,3.99166666666667,4.325,3.56666666666667
"62.75 24.25",62.75,"Boreal",0.25,2.56666666666667,4.18333333333333,3.48333333333333,3.06666666666667,3.20833333333333,2.55,2.23333333333333,3.05,2.13333333333333,2.75833333333333,2.18333333333333,3.075,4.26666666666667,2.53333333333333,2.91666666666667,2.91666666666667,3.11666666666667,3.71666666666667,3.7,3.70833333333333,4.00833333333333,2.825,1.475,4.01666666666667,2.38333333333333,3.96666666666667,4.35833333333333,4.625,3.43333333333333
"63.25 29.25",63.25,"Boreal",-0.441666666666667,1.65,3.89166666666667,2.48333333333333,2.24166666666667,2.73333333333333,1.60833333333333,1.59166666666667,2.93333333333333,1.80833333333333,1.83333333333333,1.33333333333333,2.44166666666667,3.975,1.875,2.1,2.73333333333333,2.41666666666667,3.13333333333333,2.55833333333333,3.25833333333333,3.575,2.25833333333333,1.06666666666667,3.55,1.73333333333333,3.70833333333333,3.96666666666667,4.375,3.56666666666667
"60.25 17.25",60.25,"Boreal",3.23333333333333,5.18333333333333,6.70833333333333,6.59166666666667,5.73333333333333,6.175,5.26666666666667,5.28333333333333,4.825,3.70833333333333,5.38333333333333,4.55,5.38333333333333,6.1,4.84166666666667,5.13333333333333,5.00833333333333,4.875,5.31666666666667,5.83333333333333,5.51666666666667,5.88333333333333,4.96666666666667,3.10833333333333,5.9,4.73333333333333,5.16666666666667,6.23333333333333,6.00833333333333,5.5
"49.25 -78.75",49.25,"Boreal",1.93333333333333,0.183333333333333,-0.983333333333334,0.875,1.09166666666667,-0.533333333333333,-0.241666666666667,0.25,0.325,-3.67905937196748e-17,-0.233333333333333,2.68333333333333,2.1,0.741666666666666,2.53333333333333,0.675,0.491666666666666,0.141666666666667,1.79166666666667,2.54166666666667,1.00833333333333,0.9,0.858333333333333,2.84166666666667,1.375,2.55833333333333,0.4,-0.216666666666667,0.8,1.63333333333333
"57.75 33.25",57.75,"Boreal",1.84166666666667,4.63333333333333,6.19166666666667,5.24166666666667,5.03333333333333,4.88333333333333,3.55833333333333,3.65833333333333,5.175,3.825,4.05833333333333,3.85,5.36666666666667,5.48333333333333,4.23333333333333,4.4,4.39166666666667,4.325,4.68333333333333,4.35,5.25,5.71666666666667,4.8,4.26666666666667,5.2,3.86666666666667,4.91666666666667,5.05,5.775,4.95833333333333
"66.25 23.75",65.75,"Boreal",-1.06666666666667,0.7,2.225,1.875,0.908333333333333,1.525,0.866666666666667,0.608333333333333,0.858333333333334,0.683333333333333,1.18333333333333,-0.05,0.841666666666667,2.13333333333333,0.791666666666667,0.516666666666666,1.25,1,2.11666666666667,1.46666666666667,1.51666666666667,1.45833333333333,1.21666666666667,-0.6,2.08333333333333,0.175,1.43333333333333,2.40833333333333,2.675,1.7
"48.25 -82.25",48.25,"Boreal",2.41666666666667,0.683333333333333,-0.508333333333334,1.64166666666667,1.73333333333333,-0.0416666666666668,0.166666666666667,0.925,0.5,0.0333333333333336,0.325,2.775,2.425,1.225,2.84166666666667,1.08333333333333,0.733333333333334,0.508333333333333,2.20833333333333,2.86666666666667,1.7,0.941666666666667,0.883333333333333,3.3,1.88333333333333,3.15833333333333,0.466666666666667,-0.191666666666667,1.60833333333333,2.56666666666667
"53.75 -106.25",53.75,"Boreal",2.175,0.5,-0.75,-0.608333333333333,0.175,0.575,0.625,-0.35,-0.525,-1.96666666666667,0.941666666666667,1.64166666666667,1.64166666666667,0.0499999999999999,1.84166666666667,-0.216666666666666,0.558333333333333,-0.283333333333333,1.31666666666667,1.75,0.258333333333334,-0.358333333333333,-0.35,1.44166666666667,1.00833333333333,1.24166666666667,-0.45,-0.658333333333333,1.725,2.20833333333333
"61.75 24.25",61.75,"Boreal",1.40833333333333,3.45833333333333,5.14166666666667,4.40833333333333,4.025,4.15,3.41666666666667,3.225,4.05833333333333,2.96666666666667,3.88333333333333,3.175,4.08333333333333,5.30833333333333,3.71666666666667,4.025,3.86666666666667,4.09166666666667,4.70833333333333,4.84166666666667,4.775,5.11666666666667,3.98333333333333,2.625,5.09166666666667,3.4,4.975,5.29166666666667,5.65833333333333,4.49166666666667
"53.75 -105.25",53.75,"Boreal",2.84166666666667,1.275,-0.0916666666666665,-0.158333333333333,0.733333333333333,0.916666666666667,0.85,0.291666666666667,0.241666666666666,-1.2,1.475,2.04166666666667,2.14166666666667,0.4,1.96666666666667,-0.0333333333333331,1.025,0.158333333333333,1.75833333333333,2.225,0.75,0.0666666666666667,0.2,1.95833333333333,1.53333333333333,1.825,-0.0666666666666667,-0.175,2.24166666666667,2.725
"58.25 33.25",58.25,"Boreal",1.90833333333333,4.675,6.20833333333333,5.18333333333333,5.09166666666667,4.88333333333333,3.60833333333333,3.71666666666667,5.21666666666667,3.81666666666667,4.1,3.86666666666667,5.36666666666667,5.51666666666667,4.24166666666667,4.39166666666667,4.425,4.34166666666667,4.74166666666667,4.4,5.225,5.75833333333333,4.80833333333333,4.21666666666667,5.225,4.00833333333333,5.225,5.40833333333333,6.10833333333333,5.225
"34.75 92.75",34.75,"Boreal",-4.60833333333333,-4.275,-5.04166666666667,-4.78333333333333,-4.70833333333333,-5.40833333333333,-5.025,-4.66666666666667,-4.99166666666667,-4.64166666666667,-5.95833333333333,-4.00833333333333,-4.63333333333333,-5.01666666666667,-4.45,-4.075,-3.89166666666667,-4.24166666666667,-4.13333333333333,-3.34166666666667,-4.20833333333333,-4.64166666666667,-3.54166666666667,-3.34166666666667,-3.91666666666667,-4.25833333333333,-3.8,-4.16666666666667,-3.93333333333333,-3.33333333333333
